decision	27103:8572:2256:266
kennedy:	30901:17011:2413:325
your	27661:17484:1295:280 37672:23781:1139:251 30991:25229:1117:251
friendly	29248:17484:2010:339
letter	31527:17484:1295:280 34901:25140:1295:280
10,	36778:17499:647:310
with	27706:28983:1295:280 37716:17455:1094:280 30857:25628:1094:280
its	27147:17972:513:280 35415:20337:558:295
acompanying	28131:17972:3284:325
prompt	37046:17987:1787:310
decisive	28309:18445:1921:280
action	28131:23234:1474:280 30544:18445:1474:280
authorities,	27125:18918:2770:354
brings	30231:18933:1541:339
me	32086:19021:715:177 37359:25229:692:192
first	34186:18903:1005:295
word	35526:18903:1273:295
i	36264:24653:178:266 37135:18888:223:295 32532:27062:178:280 37560:28969:201:266 31326:23707:201:280 30365:20825:223:295 28935:26574:223:295
have	28399:27535:1161:310 37694:18888:1161:295
had	27103:19406:893:280
at	27103:19923:446:251
princeton.	27930:19879:2569:295
matter	32220:19923:1631:236
has	34164:19864:782:295
not	35303:19923:804:236
come	36487:19953:1251:192
before	27125:20352:1005:295 38074:19849:491:295
our	37984:20913:826:177 28466:20455:826:192
board	29628:20352:1519:295 27147:27062:1541:295
control	32331:20337:1876:310
or	34543:20440:513:192
committee.	37493:23204:1005:295 27125:23707:1631:295 27147:20825:2793:295
feel	31035:20825:893:295
sure,	32354:20928:1161:236
however,	33940:20825:2234:339
members	27103:21312:2189:280
would	29628:21312:1497:280
prefer	31505:21312:1541:339
regard	30790:28983:1631:325 34231:21312:1631:325
actual	37314:21283:1474:295
outcome	27103:21845:2033:236
"contest	31527:21785:1765:295
inconclusive	34521:21771:3016:295
negligible	27080:22273:2435:354
except	29806:22317:1586:310
in	31706:22273:402:266 38409:25140:446:266
so	32443:22377:469:177 38252:26072:603:310
far	27147:26574:759:295 33203:22273:759:266
it	35415:27520:312:295 35035:22258:357:280
affords	35661:22258:1720:280
such	37739:22258:1050:280
clear	27103:22761:1184:280
proof	28712:22746:1362:354
generous	32622:22850:2189:251
considerate	36532:22731:2033:295 27080:23278:737:236
while	29248:23707:1564:295
can	36889:24741:826:192 31996:23810:826:177
hardly	33314:23707:1608:339
neglect	35415:23692:1787:339
definite	27125:24180:1787:295
request	29248:24239:1742:280
daily	35392:24180:1608:280
news	37336:24165:1497:295
publish	27125:24668:1765:354
statement,	33314:24697:2524:295
assure	38118:24741:491:192 27147:25229:1005:206
you	28488:25229:871:251
personal	32465:25155:2077:325
itself	27147:25628:1251:280
meets	28935:25658:1407:251
characteristic	32488:25613:3396:295
frankness	36420:25613:2435:266
courtesy	28265:26146:2100:295
every	30700:26205:1362:251
aspect	32331:26146:1519:310
matter.	36107:26131:1765:251
am	33158:27151:737:192 38141:29057:715:177 29449:26678:737:192
privileged	30454:26589:2480:339
speak	33962:26574:1385:354
for	35638:26574:759:280
control,	30075:27062:2010:295
sure	34320:27151:1005:192
incident	36934:27047:1921:280
will	27147:27535:916:295
significance	29918:27535:2904:339
only	33136:27535:1072:339
emphasizes	36085:27520:2770:354
anew	27147:28111:1251:192
cordial	29851:28008:1698:295
relations	31862:28008:2167:295
constantly	34387:28008:2547:339
enduring	37247:28008:1340:280 27170:28496:759:339
between	28287:28496:1988:295
vale.	34789:28496:1273:280
high	29315:28983:1094:339
appreciation,	34007:28969:3172:339
cordially	30812:29456:2323:339
yours,	33448:29545:1497:251
(signed)	29873:29929:2212:325
george	32599:29929:1809:325
h.	34767:29929:603:280
nettleton.	35817:29914:2502:295
harvard	27215:30905:2212:266
wins	29829:30890:1340:280
y-h-p	31549:30890:1698:280
cross	33046:31378:1452:280
country	34879:31363:2212:354
meet.	37470:31363:1407:280
h.	27215:33092:603:266
p.	28220:33092:491:266
smith	28019:45123:1474:295 29114:33077:1452:280
(y).	31013:33092:1139:325
j.	32778:33077:402:339
w.	33516:33077:759:280 34856:33565:737:266
evans,	34633:33077:1653:339
1927;	36644:33107:1318:310
t.	38342:33077:536:266
n.	27192:33565:625:280
ingham,	28265:33565:2055:339
1928;	30790:33595:1318:310
and	38051:34023:826:295 35437:34999:871:295 31281:38871:849:280 32577:33565:871:266 29851:45153:871:266
g.	33895:33550:513:280
penny	36107:33565:1541:339
jr.,	38074:33550:804:339
19285.,	27215:34038:1720:339
finished	29382:40305:1899:295 29538:34038:1876:280
fourteenth,	32018:34038:2725:339
fifteenth	35348:34038:2100:280
sixteenth	27192:34526:2279:280
respectively	29918:34511:2949:369
for	30454:35501:737:280 33359:34526:759:280 35348:36447:737:295
vale.	34543:34511:1295:295
in	27192:36920:424:310 27751:35014:558:280 33493:40320:446:280
winning	28622:35014:2010:339
yesterday's	30968:35014:2748:339
race	34119:41369:1027:206 34074:35102:1027:192 37828:40408:1027:192
setting	36621:34999:1675:354
a	34298:43305:268:192 30812:39935:268:177 38655:35087:223:192 34096:38960:245:177
new	27192:35590:983:192
record	28510:35501:1586:280
the	36197:42729:759:295 33493:37408:737:295 35526:39359:759:266 32622:40793:737:295 31527:35487:737:295 27952:38383:737:280 30097:41753:759:295 29494:37408:983:310 27684:41266:983:295 35549:37910:759:280 27840:43690:759:280 36577:43704:960:295 28242:39359:737:266
course	32599:35590:1586:192 37225:41857:1608:206 33650:40896:1586:192
under	34499:35487:1407:280
such	36219:35487:1094:295
difficult	27192:35974:893:280 37649:35472:1027:295
weather	28443:35974:1966:280
conditions,	30767:35960:2636:354
tibbetts,	33761:35974:2189:339
harvard's	36331:35960:2547:310
veteran	27192:36506:1832:236
harrier,	29270:36447:1899:339
fully	31482:36447:1161:354
made	32935:36447:1273:295 37537:42256:1273:280
up	27170:39448:580:251 34476:36551:603:251
his	38185:38398:692:266 36376:36447:692:295
defeat	33404:42729:1564:295 37336:36447:1541:295
last	30477:42714:849:295 34476:40320:871:280 28957:38383:871:280 28086:36935:871:280
year's	29404:36935:1452:339 35839:40320:1474:339 31639:42729:1452:339
triangular	31303:36935:2793:339
meet	34566:36920:1228:295
by	35281:42729:603:354 36197:36920:603:354
m.	37247:36920:670:295
l.	38387:36920:469:280 27080:45123:491:295
smith.	27192:37408:1608:295
finish	30857:37408:1340:295
of	32577:37408:513:295
contest	34610:37452:1742:251
was	36733:37511:938:192 28913:40896:916:192
unusually	27170:37910:1765:325 38051:37497:558:192
close,	29293:37910:1340:310
watters	31013:37910:2033:266
leading	33381:37910:1809:325
field	36666:37910:1027:280
until	27170:38383:513:280 38051:37984:558:192
few	30119:38383:916:280
yards	31259:38383:1340:339
when	32868:38383:1295:280
smith,	34454:38383:1586:339
timing	36331:38383:1608:339
run	30142:40896:826:192 27192:38960:826:177
perfectly,	28443:38871:2368:339
with	29203:39832:1072:280 32555:38871:1117:280
beautiful	34744:38871:2234:280
sprint	37448:38856:1430:354
home	29471:39359:1318:266
stretch	31281:39359:1675:266
passed	33448:39359:1586:339
crimson	27080:43290:804:192 37314:42729:1184:295 36778:39344:2077:295
leader	27192:39817:1497:295
bare	31594:39832:1050:280
four	33158:39832:1072:280
second	34767:39832:1631:280
margin.	36934:39832:1899:354
briggs	27170:40305:1675:354
third	31773:40320:1228:280
which	27147:40793:1474:280
over	31236:40896:1072:192 28645:41842:1072:206
at	35526:40852:446:236
princeton.	36286:40793:2547:295
freshman	28980:41266:2480:295
harriers	31795:41266:1966:310
against	35459:41280:1787:339
harvard	27125:41753:1117:280 37604:41280:916:280
university	31236:41753:2681:354
three-mile	34298:41753:2569:310
this	27103:42226:893:295
morning.	28399:42226:2234:354
strong	31371:42241:1698:339
effort	33471:42241:1385:295
will	31773:44177:893:280 35214:42241:983:295
be	36577:42256:536:295
to	27103:42758:446:236
vindicate	27885:42714:2234:295
first	28309:43202:983:280
year	29717:43290:1072:251
men	30454:44266:1005:192 31236:43305:1005:177
after	32644:43217:1228:280
close	34968:43217:1228:295
struggle,	36599:43231:2167:339
as	27080:43778:491:177
25-31	28890:43719:1273:251
score	30499:43778:1273:192
would	32063:43690:1519:295
indicate.	33895:43690:2033:295
following	27080:44162:1675:354 37873:43704:692:280
1929	29091:44192:1050:251
report:	33002:44162:1832:354
barnes,	35124:44192:1854:325
dean,	37336:44192:1430:325
fodder,	27080:44650:1899:339
hayes,	29360:44650:1675:354
hobilitzelle,	31393:44665:3083:339
jacob,	34789:44665:1541:354
munroe,	36688:44680:2077:325
watson.	31080:45138:2055:280
entire	27080:46572:1631:295
princeton	29091:46586:2569:280
and	32041:46601:938:266
vale	33359:46601:1139:266
material	34879:46601:2189:280
available	28801:47074:2480:280
for	31639:47074:938:280
41st	32868:47089:1117:280
annual	34298:47074:1966:280
contest.	36621:47089:2167:266
been	27125:48803:1117:280
named	28555:48803:1608:280
field	30521:48803:1027:280
judge.	31862:48818:1519:339
he	34007:48818:737:280
has	35102:48818:782:280
rarely	36219:48818:1497:354
appeared	27125:49291:1653:339 38051:48907:536:251
on	34588:50355:536:192 29024:49380:558:192
eastern	29851:49276:1921:295
gridirons.	32018:49276:2435:369
the	30477:50740:737:280 27751:52676:983:280 35013:49306:960:280
other	36219:49306:1318:280
officials	37783:49291:849:280 27147:49764:1094:295
have	28667:49764:1117:295
taken	30209:49779:1340:280
charge	31929:49779:1698:354
of	31616:52188:513:280 32018:51213:491:295 34052:49779:491:280 32443:51700:513:280
yale-princeton	34990:49779:3843:280
and	38007:51700:826:295 27170:50252:849:280
yale-harvard	28354:50252:3575:295
matches	32264:50252:1966:295
several	35459:50267:1765:280
occasions	37560:50355:1027:192 27170:50725:1206:295
since	28823:50725:1206:295
world	31639:50740:1474:310
war.	33516:50828:1094:206
they	35348:50725:1295:369
include	37113:50725:1720:295
w.	27170:51213:737:280 28756:51700:737:295
g.	28399:51213:513:295 27192:52188:491:295
crowell,	29427:51213:2100:339
swarthmore,	33069:51213:3217:354
referee;	36800:51213:2010:354
fred	27170:51700:1184:280
murphy,	29918:51700:2122:354
brown,	33359:51700:1832:339
umpire;	35594:51700:1966:354
n.	28086:52188:603:295
bankart,	29047:52188:2167:339
dartmouth	32510:52188:2793:280
as	35683:52277:469:192
linesman.	36554:52188:2279:295
probable	29158:52676:2122:339
line-ups	31728:52676:1921:339
are:	34096:52676:1005:339
vale	27192:53164:1340:280
princeton	36085:53164:2748:280
gill	27192:53637:893:280
(16)	28577:53651:1050:339 37761:53637:1027:354
lea	36353:53651:916:280
left	31035:61869:1094:280 31527:56060:1094:295 31862:54139:1072:280 31393:55100:1117:280
end	33337:59933:1005:280 33225:54139:1005:280
joss	27170:54597:1027:354
(capt.)	28622:54612:1787:354
(30)	37739:54612:1050:354 30901:54627:1005:339
gates	35973:54627:1340:280
tackle	32868:58957:1720:295 32957:55100:1698:295
.sturhahn	27215:55543:2323:310
(7)	30008:55573:759:369 37984:62357:782:354
davis	36085:55602:1430:295
(4)	38051:55587:737:354
guard	33002:56075:1541:280 33136:57982:1541:310
burt	27170:56519:1139:310
(35)	28779:56533:1027:354
mcmillan	34811:56563:2480:280
(13)	37739:56578:1050:339
center	32197:57021:1586:310
richards	27170:57494:2256:295
(19)	29829:57509:1050:369
crago	36085:57524:1497:369
(6)	38029:57538:759:354
right	31393:57982:1407:354 30901:62830:1407:354 31683:59933:1407:339 31125:58957:1430:339
benton	27192:58470:1720:295
(33)	29360:58470:1050:354
darby	35683:58484:1564:369
(31)	37716:58499:1050:354
potts	27192:59445:1295:280
(29)	28935:59445:1027:354
moeser	35459:59445:1832:310
(20)	37716:59460:1072:354
bunnell	27147:60421:1921:280
(39)	29494:60421:1027:354
caulkins	35124:60421:2167:310
(17)	37716:60435:1050:354
quarterback	31415:60894:3172:354
noble	27170:61381:1474:295
(49)	29091:61381:1050:354
dignan	35705:61396:1832:339
(3)	38007:61396:759:339
halfback	32599:61869:2368:280 32711:62845:2368:280
kline	27170:62327:1340:310
(38)	28935:62357:1027:354
slagle	36018:62357:1564:354
allen	27125:63317:1362:295
(28)	28957:63317:1050:369
gilligan	35526:63317:2010:369
(5)	37984:63317:782:369
fullback	31884:63805:2212:295
classified	2882:2305:3508:295
advertisements.	6770:2276:5697:295
leopold,	1832:3281:2145:354
voice	4267:3266:1452:310
builder;	6055:3266:2077:339
glee	8513:3266:1094:295
club	9898:3251:1161:295
coaching	11350:3236:2212:354
a	1832:3783:268:177
specialty.	2390:3665:2301:354
gamble-desmond	5005:3650:4491:295
bldg.	9786:3635:1318:354
l	11395:3635:379:295
2394-2	11931:3680:1608:251
susan	1854:4345:1497:325
c.	3954:4345:491:325 1876:7301:513:295 6658:23086:737:428
bradley,	5072:4345:2100:369
public	7798:4345:1586:310
stenographer,	10010:4330:3530:354
typing,	1854:4759:1966:369
multigraphin?,	4066:4759:3820:354
etc.,	8110:4803:960:295
notary,	9339:4744:1943:339
507-510,	11551:4759:1988:310
902	10814:16080:782:236 1854:5202:804:251
chapel	11931:16036:1675:354 4133:10612:1698:339 5541:27919:1943:192 3016:5158:1675:354
(malley	5094:5158:2033:354
bldg.)	7462:5143:1564:339
l.	9473:5128:513:280
4477-539-t.	10278:5158:2569:251
typewriting,	1876:5838:3306:354
multigraphing,	5854:5823:3731:354
mimeographing,	10233:5808:3038:354 1854:6222:916:369
addressing.	3262:6222:2793:339
intelligent	6546:6222:2614:339
and	9630:6222:893:266 10970:7286:893:280 5921:13656:871:280 7105:14144:871:266 9362:11277:871:295 12713:14602:893:280
discerning	10993:6207:2591:339
copyists.	1854:6621:2145:354
whitlock's	4379:6621:2770:280
book	7529:6621:1318:266
store,	9228:6606:1474:339
inc.	11104:6606:938:266
e.	2815:7301:513:295
austin,	3776:7301:1787:339
teacher	5965:7286:1809:295
of	5809:19228:715:413 8200:7286:536:295 3932:13169:849:295 7395:12696:826:295
banjo	9138:7286:1407:339
tenor	12289:7316:1273:251
mandolin,	1854:7685:2435:339
guitar.	4558:7700:1653:339
p.	6189:41295:446:206 9831:14129:513:266 6613:30506:513:280 6524:7685:513:280
o.	7574:30491:580:280 7328:7685:558:280
box	8602:30491:1295:280 8200:7685:1027:280
47,	9496:7715:670:310
city.	10479:7670:1161:339
barbering	1876:8365:2569:354
as	4736:8365:692:295
you	5720:8350:1072:310
like	7105:8350:1139:310
it.	8535:8350:536:295
jim	9384:8350:938:339
the	7842:34452:1072:221 7686:40704:826:280 8513:8749:759:295 10635:8365:737:266
barber,	11730:8350:1832:325
105	1876:8808:804:236
college	3128:8764:1854:354 9876:8749:1854:339
street.	5429:8749:1608:295
in	7529:8749:536:295
shop	12333:8735:1228:339
building.	1899:9148:2301:354
yale-princeton	1876:9828:3865:295
ball	6099:9828:893:280
game	7351:9917:1295:251
guests	9004:9858:1519:310
can	10903:9902:826:192
secure	12088:9902:1519:192
first	1943:12696:1899:295 1899:10227:1005:280
class	3217:10227:1184:280
heated	4692:10227:1608:280
rooms	6569:10316:1497:192
by	8379:10227:580:325
applying	9272:10213:2167:339
at	3932:14661:469:236 3172:16095:469:251 10188:20633:670:354 11730:10242:491:251
once	12512:10301:1094:177
to	1854:10656:491:236 4915:40793:536:221 6859:34452:670:236 5474:36388:536:280 10613:40719:513:236 13182:16568:446:236
1366	2703:10641:1072:251
st.	6211:10612:670:280 9339:39152:893:280
stutz	1921:11292:1295:295
"bearcat"	3642:11277:2480:310
powerful	6546:11277:2390:295
speedy,	10635:11277:1742:354
excellent	12825:11365:491:192 1899:11691:1631:280
condition.	3887:11676:2413:295
$375.	6725:11676:1228:339
cash.	8379:11676:1206:280
lib.	9987:11676:983:280
4431.	11417:11705:1206:251
church	4200:12696:2770:295
christ	8624:12681:2435:310
scientist,	1899:13169:1653:354 11462:12666:1809:310
new	5139:13169:1519:295 8513:27091:1541:310
haven,	7038:13169:2524:354
conn.,	9965:13154:2122:354
corner	12467:13154:849:295 1899:13745:804:192
winthrop	3083:13656:2457:339
derby	7172:13656:1564:325
avenues.	9116:13656:2234:280
sunday	11775:14115:1832:339 11775:13656:1832:325
services	1943:14129:1921:280
11	4803:14647:491:236 4267:14174:491:236
a.	5161:14144:536:266 5720:14617:580:266
m.	10725:14115:647:295 6948:31925:1318:605 6926:41266:580:221 6099:14144:647:266 6725:14617:670:266
7:30	8356:14159:1072:236
school	1921:14617:1653:280
subject:	7798:14602:2122:339
mortals	10367:14602:1966:280
immortals.	1921:15090:2748:280
golden	5295:15090:1742:280
text:	7686:15075:1698:295
1	11507:25155:268:206 9853:15120:201:236
corinthians	10725:15075:2882:295
15	1921:15607:491:251
:53.	2591:15607:804:251
wednesday	3731:15578:2904:325
evening	6971:15563:1921:339
testimonial	9161:15563:2748:295
meetings	1899:16051:983:354 12244:15607:1072:236
8	3910:16095:245:236 5630:41310:245:206
o'clock.	4446:16051:1832:295
reading	6569:16036:2077:354
room,	8892:16051:1608:325
street,	1943:16524:1631:354
room	4021:16524:1497:295
804,	5943:16568:960:295
open	7351:16612:1139:251 1966:41325:1452:236
week	8915:16509:1295:295
days	10658:16524:1072:339
10	12222:16553:513:236
5;	1876:16997:558:354
wednesdays	2748:17011:3128:339
until	3709:41310:1608:236 6233:16997:1161:295
7.	7775:17041:357:251
all	8513:16997:759:280
are	9585:17085:782:206
welcome.	10702:16997:2256:280
reward	3463:18031:4245:620
offered	8177:18016:4021:635
for	1966:19243:1027:413 5742:29161:1787:428
return	3284:19302:2212:354
platinum	6814:19228:3195:517
loose-link	10300:19199:3396:443
bracelet	1966:19894:2748:428
set	5094:19982:960:339
with	6457:19879:1586:443
diamonds,	8446:19894:3597:487
lost	12467:19879:1228:413
on	1943:20721:916:266
saturday,	3239:20544:3351:532
nov.	7038:20559:1675:413
7,	9161:20588:580:428
princeton-harvard	11216:20544:2145:413 1966:21209:4401:428
game.	6725:21372:2077:354
please	2882:22258:2189:413
notify	5451:22244:2323:517
r.	5429:23086:782:413
cory	7820:23056:2457:443
133	2010:23958:960:266
n.	12534:23914:536:280 3239:23928:536:280
maple	4021:23928:1608:325
avenue	5831:23928:2055:266
east	8781:23928:1117:266
orange,	10121:23914:2122:339
j.	13317:23899:379:280
tailors	7239:25096:2904:280
,~j5	5384:27018:1161:472
j	6658:27298:156:73
haven	10434:27077:2301:310
t\\	3418:27372:737:487
hu	4647:27357:1228:413
kjbb	6546:27594:1094:177
1-2	7887:27594:603:177
i	10881:27357:2390:502
vlb*-	3418:27771:1430:399
street	10121:36846:1608:354 8088:32826:2033:251 7686:27934:1832:177
conn	10814:27786:1921:295
"	13361:27845:223:59
dodge	1988:28525:3083:428
1925	5451:28525:1720:413
touring	7507:28510:4044:428
car	11887:28510:1832:413
sale	7798:29161:2189:428
fully	5161:29929:1966:295
equipped	7507:29914:3083:339
write:	4491:30506:1698:280
865	10300:30491:983:280
meriden,	5340:30964:2904:310
conn.	8580:30964:1899:280
hugh	3418:31925:2949:783
beirne	8892:31910:3440:605
227	5541:32885:804:192
elm	6658:32856:1117:221
men's	4491:33624:1921:369
furnishings	6859:33565:4334:413
"next	4870:34467:1675:236
gym."	9228:34422:1586:236
emil	2346:35398:2949:635
h.	5787:35383:1228:620
kossack	7529:35294:5965:679
barbers	3038:36344:2077:369
vale	6368:36314:1228:354
men	7976:36299:1161:354
since	9518:36285:1452:354
1893	11373:36255:1340:354
ac.	4044:36905:893:369
shop,	6390:37467:1519:428 5273:36905:1519:413
100	7150:36905:983:325
high	8490:36861:1295:428
sheff.	4446:37482:1519:354
byers	8289:37452:1497:413
hall	10188:37408:1139:354
howard's	2010:38620:4781:487
coffee	7127:38576:3284:458
house	10747:38546:2971:443
67	5496:39211:625:266
center	6546:39167:2435:295
regular	3351:39758:2547:251
home	6233:39728:1541:236 5809:40733:1564:266
cooked	8088:39699:2145:236
foods	10591:39684:1720:236
small	3664:40054:1787:236
steak—french	5764:39994:4468:266
fried	10524:39980:1564:236
our	5675:40334:1117:221
specialty	7105:40290:2927:251
next	3351:40763:1251:295
place	8870:40674:1407:295
eat	11484:40660:871:280
closed	8892:41236:2033:251
sundays	11216:41206:2502:251
hot	16601:2320:1876:428
waffles	18791:2305:4044:443
in	23193:2305:871:413 24600:25288:402:206 21919:25968:402:221
the	21338:8262:1251:295 15171:13272:1541:620 19416:10198:1251:266 18120:25303:692:221 15573:9740:1251:266 19506:3828:737:221 17540:2882:1765:413
cellar	19707:2882:3418:428
19	17540:3473:625:266
whitney	18500:3443:2279:339
avenue	21092:3443:2055:280
(at	18433:3828:782:266
bridge)	20556:3828:1698:236
lunch—tea—supper	16646:4108:7373:399
telephone	16892:4611:2815:369
pioneer	20042:4626:2055:295
3815	22433:4611:1340:295
also	15663:5010:1362:236
open	17405:5010:1407:236
sundays	19148:4995:2502:251
4	21986:5010:290:206
to	21584:18534:402:177 19215:15666:402:177 15573:8306:849:280 22612:4980:715:236
7	23684:4995:245:221
our	14434:5985:4781:1049 15573:7818:1318:280
chef	20377:5956:5831:1049 17338:7818:1631:280
we	15573:7360:960:266
are	17026:7345:1251:266
mighty	18768:7330:2457:280
proud	21718:7316:2145:280
of	23126:19051:446:236 18299:25968:670:236 17361:25303:402:221 24377:7301:826:295 20109:32782:715:413
and	15596:9252:1295:280 19372:36181:960:266 19394:7818:1340:266
owe	21204:7803:1430:280
a	24757:9695:446:280 23059:7789:446:280
lot	23930:7774:1273:295
him.	16959:8291:1318:280
only	19148:8276:1698:280
finest	23081:8262:2100:280
food	15573:8779:1742:280
is	22321:9710:491:280 17629:28555:513:428 17875:8764:513:295
accepted	18903:8749:3306:280
by	18746:19361:536:266 22746:8749:782:266 20690:19066:536:266
him	24042:8749:1184:266
he	17405:9237:849:280
takes	18724:9237:2033:280
good	21226:9222:1809:280
care	23550:9208:1675:280
preparation	17338:9710:4446:280
on	23349:9710:893:266
par	15596:10213:1273:280
with	17294:10213:1675:266
quality.	21137:10168:2949:354
hotel	19104:33580:1430:280 14478:10952:5250:1315
bishop	20243:10937:6010:1271
mall	17137:13272:2122:620
college	19685:13242:3418:635 19171:14898:1943:428 19997:15622:1653:251
shop	23505:13242:2055:620
i	25852:15459:424:369 25829:12873:424:990
clothes—haberdashery	16177:14085:8490:517
101	17763:14942:938:325
street	21517:14898:1608:354
(next	17540:15637:1251:251
shop)	21986:15607:1362:251
far	14992:16982:1787:428
east	17227:16982:2212:428
restaurant	19908:16952:5965:443 14657:36181:4178:295
lunches	15797:17632:1921:206
11-2	18143:17647:983:192
f	21092:17617:1988:266
45c	25047:17617:804:192
regular	15015:17913:1809:280
supper	17160:17913:1608:266
5-8	19126:17928:692:192
85c	25114:17898:804:221
special	14970:18223:1675:251
sunday	16914:18223:1720:236
dinner	18925:18209:1564:221
$1.00	24667:18179:1228:266
served	16623:18504:1564:206
from	18523:18504:1072:206
12	19886:18519:491:192
m.	23617:18475:558:236 20690:18489:536:221
3	22321:18504:245:206
p.	22857:18489:469:221
dancing	21226:32782:2949:487 17473:18785:1899:251
nightly—lo-12	19729:18785:3597:251
100	15573:19110:759:192
per	16556:19081:782:221
cent	17607:19081:1027:221
rating	18880:19081:1564:266
board	21472:19051:1385:236
health	23818:19036:1564:251
music	16981:19361:1362:236
a.	19662:19361:513:236
iver	20578:19361:893:221
coleman	21852:19361:1988:221
§langrock	14814:20337:9786:3207
fine	19528:21815:1519:620
clothes	18523:28481:2815:502 21450:21815:2614:620
furnishings	21182:22657:4223:724
at	16467:23751:312:103
tave	16914:23751:670:103
ca»»u*	17718:23751:1161:118
q£	18992:23692:670:266
ibhk.	25025:23677:1050:251
st.	15573:24668:1564:487
george's	17517:24638:5407:502
inn	20578:26737:737:221 23327:24623:1899:487
